name~location_id~city~state~awards~positive~uName~uLocation
Barmini~5058863~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~FociFutsal~Philadelphia, Pennsylvania, USA
Barmini~5058863~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~FociFutsal~Philadelphia, Pennsylvania, USA
Barmini~5058863~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~Atheo1~Washington DC, District of Columbia
Barmini~5058863~Washington DC~District of Columbia~Certificate of Excellence 2016~negative~chelly12364~Henderson, Nevada
Barmini~5058863~Washington DC~District of Columbia~Certificate of Excellence 2016~negative~marisaf-SC~Charleston, SC
Barmini~5058863~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~Berrie13~Washington DC, District of Columbia
Barmini~5058863~Washington DC~District of Columbia~Certificate of Excellence 2016~negative~Nicola66~Manchester
Barmini~5058863~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~Brooker430~Pooler, Georgia
Barmini~5058863~Washington DC~District of Columbia~Certificate of Excellence 2016~negative~Nicholeth~Oviedo, Florida
Barmini~5058863~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~LCG1988~Washington DC, District of Columbia
